id,systeme_id,theme_id,type_id,numero,application_id,date,journal,titre,resume,joint,complement
1,1,1.0,1,66-27,2,1966-04-30,code du travail,Article 294,"Les établissements dangereux insalubres ou incommodes sont classés en trois catégories, suivant les dangers ou la gravité des inconvénients inhérents a leur exploitation - Première catégorie : établissements qui doivent êtres éloignes des centres urbaines et des habitations particulières. - Deuxième catégorie : établissements dont l'éloignement des habitations n'est pas rigoureusement nécessaires, mais à condition d'application des mesures de sécurité pour prévenir les dangers ou les incommodités - Troisième catégorie : établissements qui ne présentent pas d'inconvénients ni pour la santé publique, ni pour le voisinage, sont soumis sous la surveillance administrative à des prescriptions générales édictées dans l’intérêt de voisinage ou de la santé publique.",Loi_n_66_27-0.pdf,
2,1,126.0,1,66-27,2,1966-04-30,code de travail,Article 293,"Les manufactures, ateliers, usines, magasins, chantiers et d'une manière générale, tous les établissements qui présentent des causes de dangers ou des inconvénients, soit pour la sécurité, la salubrité ou la santé du personnel qui y est occupé, soit pour la santé publique, soit encore pour l'agriculture, sont soumis à la surveillance de l’autorité administratives.",Loi_n_66_27.pdf,
3,1,3.0,1,66-27,2,1966-04-30,Code du travail,Article 322,"Est puni d'une amende de 144 à 720 dinars et d'un emprisonnement de seize jours à deux mois ou de l'une de ces deux peines quiconque a exploité sans autorisation préalable un établissement classé et quiconque à continuer l'exploitation d'un établissement dans la fermeture provisoire a été ordonnée. Le tribunal peut également ordonnée la position des scellés sur les appareils, les machines et les portes de l’établissement.",322_vf.pdf,
4,1,20.0,4,2004-956,2,2004-04-13,33 / 2004,"La composition, les attributions et les modalités d fonctionnement du comité spécial des établissements classés ","- Article 1 : 1) Fixation de la composition du comité spécial des établissements dangereux, insalubres ou incommodes. - Article 2 : Le comité assume un rôle consultatif d'assistance à la prise des décisions, il donne son avis à propos : - des textes législatifs et réglementaires relatifs aux établissements dangereux, insalubres ou incommodes, - du classement des établissements dangereux, insalubres ou incommodes, - des arrêtés d'autorisation d'ouverture et de fermeture de ces établissements. 3) Le comité se réunit sur convocation de son président quatre fois par an au moins et chaque fois que nécessaire 4) Les procès-verbaux des réunions du comité sont consignés dans un registre tenu par la direction de la sécurité au ministère de l'industrie et de l'énergie qui assure le secrétariat du comité",decret_2004_956.pdf,
11,2,8.0,5,08-01-1966,2,1966-01-08,93 / 1966,La mesure du bruit produit par un véhicule automobile ,"- Article premier : Le bruit produit par un véhicule à moteur ne doit pas excéder les valeurs suivants (catégories de véhicules: niveaux sonores maxima en décibels) * cyclomoteurs: 76 * vélomoteurs et véhicules assimilés: 80 * motocyclettes et motoculteurs: 86 * véhicules utilitaires d'un poids total en charge inférieur ou égal à 3.5 tonnes: 83 * véhicule de transport en commun: 90 * véhicules utilitaires d'un poids total en charge supérieur à 3.5 tonnes, tracteurs agricoles et machines agricoles automotrices: 90 - Article 2 : Les organes d'un véhicule et notamment le dispositif d'échappement doivent être maintenus en bon état ou remplacés en cas de nécessité de sorte que le bruit produit par ce véhicule ne dépasse pas les valeurs fixés au présent arrêté. - Article 3 : Dans les agglomérations, il est interdit d'utiliser le moteur à des régimes excessifs, notamment au démarrage ou au point fixe et de procéder à des accélérations répétées. - Article 4 : Toute modification du système d'échappement susceptible d’accroître le bruit émis par le véhicule est interdite.",Arrete_08_01_1966-0.pdf,
12,2,8.0,5,10-04-1999,2,1999-04-10,33 / 1999,Relatif aux paiement d'amendes transactionnelles pour contraventions aux règlements sur l'hygiène et la police sanitaire     ,"Le présent arrêté définie les trois catégories de contraventions aux règlements sur l'hygiène et la police sanitaire à l'intérieur des périmètres relevant des conseils régionaux et des communes ainsi les amendes prévues pour chaque catégorie de contravention. Les contraventions aux règlements sur l'hygiène et la police sanitaire sont soulevées par les présidents conseils régionaux et des communes, les agents de police et les agents de la garde national.",Arrete_10_04_1999.pdf,
13,3,8.0,5,27-08-1984-3,3,1984-08-27,51 / 1984,Relatif au contrôle au point fixe du niveau sonore des véhicules automobiles   ,"Des dérogations temporaires pourront être accordées par les services compétents du ministre des transports et des communications pour les véhicules usagées. --------------------------------------------------------- La mesure sera effectuée dans les conditions suivantes:_ Véhicule arrêté, moteur à sa température normale d'utilisation alimenté _ il sera procédé à au moins trois accélérations préliminaires successives aussi rapides que possible jusqu’au régime maximum du moteur, de façon à éliminer autant que possible les suies et résidus du système de l’échappement, et à réduire au minimum l'effet d'inertie de l'alimentation en air quand un suralimenter est utilisé. --------------------------------------------------------- La mesure proprement dite sera faite au cours d'une quatrième accélération exécutée immédiatement après les 3 premières. ---------------------------------------------------------- Pour les moteurs à suralimenter embrayage, il sera procédé à 2 processus complets de mesure avec accélérations préliminaires, le suralimenter étant embrayé dans un cas et débrayé dans l'autre la mesure sera la plus élevée des 2 mesures obtenues --------------------------------------------------------- Les mesures seront effectuées par un laboratoire agrée par le ministre des transports et des communications.",Arrete_27_08_1984_3-0.pdf,
14,2,8.0,4,84-1556,2,1984-12-29,04 / 1985,Réglementation des lotissements industriels ,"Chapitre 03 : Protection de l'Environnement et Assainissement : - Article 26 : Nuissance et pollution : L'acqéureur est réputé connaitre la réglementation en vigueur en matière de l'assainissement * Pollution atmosphérique (Obligation de traitement des odeurs ou autres émanations gazeuses) * Résidus industriels * Nuisance de bruit (le niveau de bruit de jour par une entreprise ne devra pas dépasser 50 décibels, mesurés au droit de la façade des habitations les plus proches de la zone d'activités. De nuit, des précautions supplémentaires devront être prises afin de ne pas provoquer de gène aux riverains). * Eaux usées (à doter de système d'assainissement séparatif, les stocks de liquides dangereux ou insalubres doivent comporter tout dispositif susceptible de retenir les déversements accidentels) * Eaux pluviales (les réseaux de collecte des eaux pluviales ne doivent recevoir aucun liquide autre que les eaux de ruissellement)",Decret_84_1556-0.pdf,
16,3,9.0,5,08-03-2006,3,2006-03-08,22 / 2006,Pourtant approbation des cahiers des charges relatifs aux procédures environnementales,"Ce présent arrêté du ministre de l'environnement et du développement durable, pourtant approbation des cahiers des charges aux procédures environnementales que le maître de l'ouvrage et le pétitionnaire doit respecter pour les catégories d'unités soumises aux cahiers des charges .",08_mars_2006.pdf,
17,59,142.0,14,---,7,1976-11-11,82 / 1976,Convention collective Sectorielle des  teintureries et blanchisseries 1976,,convetion_collective_teintures_et_blanchissements.pdf,
